icd9_code,short_title,long_title
V1011,Hx-bronchogenic malignan,Personal history of malignant neoplasm of bronchus and lung
V4502,Status autm crd dfbrltr,Automatic implantable cardiac defibrillator in situ
1983,Sec mal neo brain/spine,Secondary malignant neoplasm of brain and spinal cord
1628,Mal neo bronch/lung NEC,Malignant neoplasm of other parts of bronchus or lung
53140,Chr stomach ulc w hem,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction"
2761,Hyposmolality,Hyposmolality and/or hyponatremia
2161,Benign neo skin eyelid,"Benign neoplasm of eyelid, including canthus"
5990,Urin tract infection NOS,"Urinary tract infection, site not specified"
40391,Hyp kid NOS w cr kid V,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
5856,End stage renal disease,End stage renal disease
25080,DMII oth nt st uncntrld,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
4589,Hypotension NOS,"Hypotension, unspecified"
2948,Mental disor NEC oth dis,Other persistent mental disorders due to conditions classified elsewhere
78701,Nausea with vomiting,Nausea with vomiting
V4501,Status cardiac pacemaker,Cardiac pacemaker in situ
28529,Anemia-other chronic dis,Anemia of other chronic disease
V3401,Oth mult lb-in hosp w cs,"Other multiple birth (three or more), mates all liveborn, born in hospital, delivered by cesarean section"
76518,Preterm NEC 2000-2499g,"Other preterm infants, 2,000-2,499 grams"
76527,33-34 comp wks gestation,33-34 completed weeks of gestation
20280,Oth lymp unsp xtrndl org,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
5781,Blood in stool,Blood in stool
2639,Protein-cal malnutr NOS,Unspecified protein-calorie malnutrition
5790,Celiac disease,Celiac disease
6930,Drug dermatitis NOS,Dermatitis due to drugs and medicines taken internally
99685,Compl marrow transplant,Complications of transplanted bone marrow
56983,Perforation of intestine,Perforation of intestine
2762,Acidosis,Acidosis
99591,Sepsis,Sepsis
2763,Alkalosis,Alkalosis
7994,Cachexia,Cachexia
1120,Thrush,Candidiasis of mouth
3510,Bell's palsy,Bell's palsy
0880,Bartonellosis,Bartonellosis
1125,Disseminated candidiasis,Disseminated candidiasis
03849,Gram-neg septicemia NEC,Other septicemia due to gram-negative organisms
7100,Syst lupus erythematosus,Systemic lupus erythematosus
7140,Rheumatoid arthritis,Rheumatoid arthritis
71945,Joint pain-pelvis,"Pain in joint, pelvic region and thigh"
57420,Cholelithiasis NOS,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction"
4148,Chr ischemic hrt dis NEC,Other specified forms of chronic ischemic heart disease
E8889,Fall NOS,Unspecified fall
E8498,Accident in place NEC,Accidents occurring in other specified places
7808,Generalizd hyperhidrosis,Generalized hyperhidrosis
3079,Special symptom NEC/NOS,"Other and unspecified special symptoms or syndromes, not elsewhere classified"
4210,Ac/subac bact endocard,Acute and subacute bacterial endocarditis
V4511,Renal dialysis status,Renal dialysis status
34590,Epilep NOS w/o intr epil,"Epilepsy, unspecified, without mention of intractable epilepsy"
56400,Constipation NOS,"Constipation, unspecified"
28521,Anemia in chr kidney dis,Anemia in chronic kidney disease
79092,Abnrml coagultion prfile,Abnormal coagulation profile
32723,Obstructive sleep apnea,Obstructive sleep apnea (adult)(pediatric)
51889,Other lung disease NEC,"Other diseases of lung, not elsewhere classified"
78659,Chest pain NEC,Other chest pain
78060,Fever NOS,"Fever, unspecified"
7821,Nonspecif skin erupt NEC,Rash and other nonspecific skin eruption
4168,Chr pulmon heart dis NEC,Other chronic pulmonary heart diseases
V1251,Hx-ven thrombosis/embols,Personal history of venous thrombosis and embolism
4372,Hypertens encephalopathy,Hypertensive encephalopathy
40301,Mal hyp kid w cr kid V,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease"
58281,Chr nephritis in oth dis,Chronic glomerulonephritis in diseases classified elsewhere
4254,Prim cardiomyopathy NEC,Other primary cardiomyopathies
78702,Nausea alone,Nausea alone
E9426,Adv eff antihyperten agt,Other antihypertensive agents causing adverse effects in therapeutic use
9596,Hip & thigh injury NOS,Hip and thigh injury
E9289,Accident NOS,Unspecified accident
2767,Hyperpotassemia,Hyperpotassemia
2753,Dis phosphorus metabol,Disorders of phosphorus metabolism
27541,Hypocalcemia,Hypocalcemia
58881,Sec hyperparathyrd-renal,Secondary hyperparathyroidism (of renal origin)
3643,Iridocyclitis NOS,Unspecified iridocyclitis
78959,Ascites NEC,Other ascites
33829,Chronic pain NEC,Other chronic pain
78900,Abdmnal pain unspcf site,"Abdominal pain, unspecified site"
44389,Periph vascular dis NEC,Other specified peripheral vascular diseases
53190,Stomach ulcer NOS,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
V1254,Hx TIA/stroke w/o resid,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
79902,Hypoxemia,Hypoxemia
E9352,Adv eff opiates,Other opiates and related narcotics causing adverse effects in therapeutic use
78909,Abdmnal pain oth spcf st,"Abdominal pain, other specified site"
3004,Dysthymic disorder,Dysthymic disorder
V4589,Post-proc states NEC,Other postprocedural status
4239,Pericardial disease NOS,Unspecified disease of pericardium
V4512,Noncmplnt w renal dialys,Noncompliance with renal dialysis
58381,Nephritis NOS in oth dis,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere"
V1581,Hx of past noncompliance,"Personal history of noncompliance with medical treatment, presenting hazards to health"
V642,No proc/patient decision,Surgical or other procedure not carried out because of patient's decision
78904,Abdmnal pain lt lwr quad,"Abdominal pain, left lower quadrant"
V4578,Acquired absence of eye,"Acquired absence of organ, eye"
V0254,Meth resis Staph carrier,Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus
5855,Chron kidney dis stage V,"Chronic kidney disease, Stage V"
7243,Sciatica,Sciatica
25200,Hyperparathyroidism NOS,"Hyperparathyroidism, unspecified"
99656,Comp-periton dialys cath,Mechanical complication due to peritoneal dialysis catheter
9951,Angioneurotic edema,"Angioneurotic edema, not elsewhere classified"
V5865,Long-term use steroids,Long-term (current) use of steroids
E8781,Abn react-artif implant,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation"
34839,Encephalopathy NEC,Other encephalopathy
2839,Acq hemolytic anemia NOS,"Acquired hemolytic anemia, unspecified"
7842,Swelling in head & neck,"Swelling, mass, or lump in head and neck"
61172,Lump or mass in breast,Lump or mass in breast
78791,Diarrhea,Diarrhea
4592,Compression of vein,Compression of vein
33819,Acute pain NEC,Other acute pain
73399,Bone & cartilage dis NEC,Other disorders of bone and cartilage
62211,Mild dysplasia of cervix,Mild dysplasia of cervix
99662,React-oth vasc dev/graft,"Infection and inflammatory reaction due to other vascular device, implant, and graft"
28981,Prim hypercoagulable st,Primary hypercoagulable state
04104,Enterococcus group d,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
E8791,Abn react-renal dialysis,"Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
04112,MRSA elsewhere/NOS,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
96509,Poisoning-opiates NEC,Poisoning by other opiates and related narcotics
4466,Thrombot microangiopathy,Thrombotic microangiopathy
78097,Altered mental status,Altered mental status
45829,Iatrogenc hypotnsion NEC,Other iatrogenic hypotension
E8502,Acc poison-opiates NEC,Accidental poisoning by other opiates and related narcotics
72992,Nontrauma hema soft tiss,Nontraumatic hematoma of soft tissue
7840,Headache,Headache
V4983,Await organ transplnt st,Awaiting organ transplant status
4010,Malignant hypertension,Malignant essential hypertension
V4569,Post-proc st eye/adn NEC,Other states following surgery of eye and adnexa
79500,Abn glandular pap smear,Abnormal glandular Papanicolaou smear of cervix
2518,Pancreatic disorder NEC,Other specified disorders of pancreatic internal secretion
E9320,Adv eff corticosteroids,Adrenal cortical steroids causing adverse effects in therapeutic use
5589,Noninf gastroenterit NEC,Other and unspecified noninfectious gastroenteritis and colitis
22804,Hemangioma intra-abdom,Hemangioma of intra-abdominal structures
53100,Ac stomach ulcer w hem,"Acute gastric ulcer with hemorrhage, without mention of obstruction"
725,Polymyalgia rheumatica,Polymyalgia rheumatica
1915,Mal neo cereb ventricle,Malignant neoplasm of ventricles
3314,Obstructiv hydrocephalus,Obstructive hydrocephalus
48283,Pneumo oth grm-neg bact,Pneumonia due to other gram-negative bacteria
1940,Malign neopl adrenal,Malignant neoplasm of adrenal gland
1977,Second malig neo liver,"Malignant neoplasm of liver, secondary"
2553,Corticoadren overact NEC,Other corticoadrenal overactivity
4240,Mitral valve disorder,Mitral valve disorders
5845,"Ac kidny fail, tubr necr",Acute kidney failure with lesion of tubular necrosis
99859,Other postop infection,Other postoperative infection
6822,Cellulitis of trunk,Cellulitis and abscess of trunk
5119,Pleural effusion NOS,Unspecified pleural effusion
34982,Toxic encephalopathy,Toxic encephalopathy
V1000,Hx of GI malignancy NOS,"Personal history of malignant neoplasm of gastrointestinal tract, unspecified"
V453,Intestinal bypass status,Intestinal bypass or anastomosis status
0413,Klebsiella pneumoniae,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site
5715,Cirrhosis of liver NOS,Cirrhosis of liver without mention of alcohol
570,Acute necrosis of liver,Acute and subacute necrosis of liver
07044,Chrnc hpt C w hepat Coma,Chronic hepatitis C with hepatic coma
5724,Hepatorenal syndrome,Hepatorenal syndrome
2867,Acq coagul factor defic,Acquired coagulation factor deficiency
51882,Other pulmonary insuff,"Other pulmonary insufficiency, not elsewhere classified"
2800,Chr blood loss anemia,Iron deficiency anemia secondary to blood loss (chronic)
30393,Alcoh dep NEC/NOS-remiss,"Other and unspecified alcohol dependence, in remission"
5723,Portal hypertension,Portal hypertension
1122,Candidias urogenital NEC,Candidiasis of other urogenital sites
88122,Opn wound wrist w tendon,"Open wound of wrist, with tendon involvement"
9032,Injury radial vessels,Injury to radial blood vessels
9033,Injury ulnar vessels,Injury to ulnar blood vessels
9551,Injury median nerve,Injury to median nerve
9555,Inj cutan senso nerv/arm,"Injury to cutaneous sensory nerve, upper limb"
9552,Injury ulnar nerve,Injury to ulnar nerve
E956,Injury-cut instrument,Suicide and self-inflicted injury by cutting and piercing instrument
30590,Drug abuse NEC-unspec,"Other, mixed, or unspecified drug abuse, unspecified"
7452,Tetralogy of fallot,Tetralogy of fallot
7622,Abn plac NEC/NOS aff NB,Other and unspecified morphological and functional abnormalities of placenta affecting fetus or newborn
41011,"AMI anterior wall, init","Acute myocardial infarction of other anterior wall, initial episode of care"
4412,Thoracic aortic aneurysm,Thoracic aneurysm without mention of rupture
07070,Hpt C w/o hepat coma NOS,Unspecified viral hepatitis C without hepatic coma
4478,Arterial disease NEC,Other specified disorders of arteries and arterioles
41402,Crn ath atlg vn bps grft,Coronary atherosclerosis of autologous vein bypass graft
44021,Ath ext ntv at w claudct,Atherosclerosis of native arteries of the extremities with intermittent claudication
5854,Chr kidney dis stage IV,"Chronic kidney disease, Stage IV (severe)"
4400,Aortic atherosclerosis,Atherosclerosis of aorta
2749,Gout NOS,"Gout, unspecified"
V1046,Hx-prostatic malignancy,Personal history of malignant neoplasm of prostate
V1209,Prsnl hst oth nfct parst,Personal history of other infectious and parasitic diseases
V090,Inf mcrg rstn pncllins,Infection with microorganisms resistant to penicillins
56089,Intestinal obstruct NEC,Other specified intestinal obstruction
49121,Obs chr bronc w(ac) exac,Obstructive chronic bronchitis with (acute) exacerbation
42833,Ac on chr diast hrt fail,Acute on chronic diastolic heart failure
43331,Ocl mlt bi art w infrct,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction
99812,Hematoma complic proc,Hematoma complicating a procedure
436,Cva,"Acute, but ill-defined, cerebrovascular disease"
43320,Ocl vrtb art wo infrct,Occlusion and stenosis of vertebral artery without mention of cerebral infarction
49390,Asthma NOS,"Asthma, unspecified type, unspecified"
99671,Comp-heart valve prosth,Other complications due to heart valve prosthesis
V3101,Twin-mate lb-in hos w cs,"Twin birth, mate liveborn, born in hospital, delivered by cesarean section"
76503,Extreme immatur 750-999g,"Extreme immaturity, 750-999 grams"
7707,Perinatal chr resp dis,Chronic respiratory disease arising in the perinatal period
76524,27-28 comp wks gestation,27-28 completed weeks of gestation
77081,Primary apnea of newborn,Primary apnea of newborn
77981,Neonatal bradycardia,Neonatal bradycardia
7470,Patent ductus arteriosus,Patent ductus arteriosus
7766,Anemia of prematurity,Anemia of prematurity
7726,NB cutaneous hemorrhage,Cutaneous hemorrhage of fetus or newborn
77989,Perinatal condition NEC,Other specified conditions originating in the perinatal period
36221,Retrolental fibroplasia,Retrolental fibroplasia
19889,Secondary malig neo NEC,Secondary malignant neoplasm of other specified sites
1972,Second malig neo pleura,Secondary malignant neoplasm of pleura
V103,Hx of breast malignancy,Personal history of malignant neoplasm of breast
74689,Cong heart anomaly NEC,Other specified congenital anomalies of heart
85300,Traumatic brain hem NEC,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
73028,Osteomyelit NOS-oth site,"Unspecified osteomyelitis, other specified sites"
25060,DMII neuro nt st uncntrl,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
3572,Neuropathy in diabetes,Polyneuropathy in diabetes
77214,"NB intraven hem,grade iv","Intraventricular hemorrhage, grade IV"
76528,35-36 comp wks gestation,35-36 completed weeks of gestation
430,Subarachnoid hemorrhage,Subarachnoid hemorrhage
V1582,History of tobacco use,Personal history of tobacco use
3963,Mitral/aortic val insuff,Mitral valve insufficiency and aortic valve insufficiency
135,Sarcoidosis,Sarcoidosis
72141,Spond compr thor sp cord,"Spondylosis with myelopathy, thoracic region"
2148,Lipoma NEC,Lipoma of other specified sites
72401,Spinal stenosis-thoracic,"Spinal stenosis, thoracic region"
4375,Moyamoya disease,Moyamoya disease
24290,Thyrotox NOS no crisis,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm"
1890,Malig neopl kidney,"Malignant neoplasm of kidney, except pelvis"
03811,Meth susc Staph aur sept,Methicillin susceptible Staphylococcus aureus septicemia
30400,Opioid dependence-unspec,"Opioid type dependence, unspecified"
5111,Bact pleur/effus not TB,"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis"
71107,Pyogen arthritis-ankle,"Pyogenic arthritis, ankle and foot"
71104,Pyogen arthritis-hand,"Pyogenic arthritis, hand"
80012,Cl skull vlt fx-brf coma,"Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness"
30500,Alcohol abuse-unspec,"Alcohol abuse, unspecified"
30560,Cocaine abuse-unspec,"Cocaine abuse, unspecified"
E8147,Mv coll w pedest-pedest,Motor vehicle traffic accident involving collision with pedestrian injuring pedestrian
7812,Abnormality of gait,Abnormality of gait
37854,Sixth nerve palsy,Sixth or abducens nerve palsy
9518,Injury cranial nerve NEC,Injury to other specified cranial nerves
77089,Resp prob after brth NEC,Other respiratory problems after birth
7678,Birth trauma NEC,Other specified birth trauma
431,Intracerebral hemorrhage,Intracerebral hemorrhage
2768,Hypopotassemia,Hypopotassemia
042,Human immuno virus dis,Human immunodeficiency virus [HIV] disease
5859,Chronic kidney dis NOS,"Chronic kidney disease, unspecified"
42820,Systolic hrt failure NOS,"Systolic heart failure, unspecified"
V141,Hx-antibiot allergy NEC,Personal history of allergy to other antibiotic agent
V071,Desensitiza to allergens,Need for desensitization to allergens
76517,Preterm NEC 1750-1999g,"Other preterm infants, 1,750-1,999 grams"
76407,Lt-for-dates 1750-1999g,"""Light-for-dates"" without mention of fetal malnutrition, 1,750- 1,999 grams"
7756,Neonatal hypoglycemia,Neonatal hypoglycemia
7764,Polycythemia neonatorum,Polycythemia neonatorum
7454,Ventricular sept defect,Ventricular septal defect
9695,Poison-tranquilizer NEC,Poisoning by other tranquilizers
29590,Schizophrenia NOS-unspec,"Unspecified schizophrenia, unspecified"
E9503,Poison-psychotropic agt,Suicide and self-inflicted poisoning by tranquilizers and other psychotropic agents
2662,B-complex defic NEC,Other B-complex deficiencies
7466,Cong mitral insufficienc,Congenital mitral insufficiency
76719,Injuries to scalp NEC,Other injuries to scalp
41001,"AMI anterolateral, init","Acute myocardial infarction of anterolateral wall, initial episode of care"
V1042,Hx-uterus malignancy NEC,Personal history of malignant neoplasm of other parts of uterus
7660,Exceptionally large baby,Exceptionally large baby
99709,Surg comp nerv systm NEC,Other nervous system complications
3558,Mononeuritis leg NOS,"Mononeuritis of lower limb, unspecified"
5533,Diaphragmatic hernia,Diaphragmatic hernia without mention of obstruction or gangrene
41061,"True post infarct, init","True posterior wall infarction, initial episode of care"
2721,Pure hyperglyceridemia,Pure hyperglyceridemia
96500,Poisoning-opium NOS,"Poisoning by opium (alkaloids), unspecified"
30401,Opioid dependence-contin,"Opioid type dependence, continuous"
9694,Pois-benzodiazepine tran,Poisoning by benzodiazepine-based tranquilizers
E8532,Acc poisn-benzdiaz tranq,Accidental poisoning by benzodiazepine-based tranquilizers
4271,Parox ventric tachycard,Paroxysmal ventricular tachycardia
42689,Conduction disorder NEC,Other specified conduction disorders
80416,Cl skl w oth fx-coma NOS,"Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with loss of consciousness of unspecified duration"
87342,Open wound of forehead,"Open wound of forehead, without mention of complication"
E916,Struck by falling object,Struck accidentally by falling object
20210,Mycs fng unsp xtrndl org,"Mycosis fungoides, unspecified site, extranodal and solid organ sites"
39891,Rheumatic heart failure,Rheumatic heart failure (congestive)
70715,Ulcer other part of foot,Ulcer of other part of foot
1919,Malig neo brain NOS,"Malignant neoplasm of brain, unspecified"
3484,Compression of brain,Compression of brain
V4281,Trnspl status-bne marrow,Bone marrow replaced by transplant
23875,Myelodysplastic synd NOS,"Myelodysplastic syndrome, unspecified"
60001,BPH w urinary obs/LUTS,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
78843,Nocturia,Nocturia
3320,Paralysis agitans,Paralysis agitans
V1079,Hx-lymphatic malign NEC,Personal history of other lymphatic and hematopoietic neoplasms
V433,Heart valve replac NEC,Heart valve replaced by other means
5853,Chr kidney dis stage III,"Chronic kidney disease, Stage III (moderate)"
V4282,Trspl sts-perip stm cell,Peripheral stem cells replaced by transplant
E8798,Abn react-procedure NEC,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
74561,Ostium primum defect,Ostium primum defect
76515,Preterm NEC 1250-1499g,"Other preterm infants, 1,250-1,499 grams"
77211,"NB intraven hem,grade i","Intraventricular hemorrhage, grade I"
86113,Heart chamber lacer-opn,Laceration of heart with penetration of heart chambers with open wound into thorax
E966,Assault-cutting instr,Assault by cutting and piercing instrument
76516,Preterm NEC 1500-1749g,"Other preterm infants, 1,500-1,749 grams"
22801,Hemangioma skin,Hemangioma of skin and subcutaneous tissue
20008,Reticulosarcoma mult,"Reticulosarcoma, lymph nodes of multiple sites"
5559,Regional enteritis NOS,Regional enteritis of unspecified site
51881,Acute respiratry failure,Acute respiratory failure
4470,Acq arterioven fistula,"Arteriovenous fistula, acquired"
2866,Defibrination syndrome,Defibrination syndrome
76502,Extreme immatur 500-749g,"Extreme immaturity, 500-749 grams"
77181,NB septicemia [sepsis],Septicemia [sepsis] of newborn
76523,25-26 comp wks gestation,25-26 completed weeks of gestation
2707,Straig amin-acid met NEC,Other disturbances of straight-chain amino-acid metabolism
33520,Amyotrophic sclerosis,Amyotrophic lateral sclerosis
51884,Acute & chronc resp fail,Acute and chronic respiratory failure
7234,Brachial neuritis NOS,Brachial neuritis or radiculitis NOS
07999,Viral infection NOS,Unspecified viral infection
78841,Urinary frequency,Urinary frequency
85181,Brain lacer NEC w/o coma,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness"
8072,Fracture of sternum-clos,Closed fracture of sternum
86402,"Liver laceration, minor","Injury to liver without mention of open wound into cavity, laceration, minor"
86509,Spleen injury NEC-closed,Other injury into spleen without mention of open wound into cavity
4821,Pseudomonal pneumonia,Pneumonia due to Pseudomonas
